scenario,model,mean_coef,mean_true_att,mean_bias,rmse,coverage_rate,mean_se,n_iters,n_units,preset
1,DML-Chang,0.1183612301276081,0.1176594831503627,0.0007017469772453,0.1665889472788058,0.9845,0.2070272072065489,2000.0,500,light
1,TWFE,0.1171136224740624,0.1176594831503627,-0.0005458606763003,0.136187588216797,0.999,0.2459251464930759,2000.0,500,light
2,DML-Chang,0.0256331786552569,0.078651847176144,-0.0530186685208871,0.3066708415460044,0.974,0.3376809124624438,2000.0,500,light
2,TWFE,0.0734215448281073,0.078651847176144,-0.0052303023480366,0.1475252531020103,0.9995,0.2622650651069279,2000.0,500,light
3,DML-Multi,-0.0449710837962702,-0.0503851695054269,0.0054140857091566,0.1325461650990966,1.0,,2000.0,500,light
3,TWFE,0.1047187606130573,-0.0503851695054269,0.1551039301184843,0.3300447835040747,0.6257132857732226,0.1514884353864095,2000.0,500,light
4,DML-Chang,0.0998517053301675,0.1060555468568296,-0.0062038415266621,0.190905909454052,0.975,0.2178236709376449,2000.0,500,light
4,TWFE,0.2734082746731929,0.1060555468568296,0.1673527278163633,0.2189386581655113,0.9825,0.2311638445511725,2000.0,500,light
5,DML-Chang,0.0562303645061689,0.1238746356755933,-0.0676442711694243,0.3440300608327915,0.9725,0.3676755517041311,2000.0,500,light
5,TWFE,0.2632830798215799,0.1238746356755933,0.1394084441459866,0.2125530420250013,0.9905,0.2635171843682243,2000.0,500,light
6,DML-Multi,-0.112801215873112,-0.1250568629227263,0.0122556470496143,0.1433173981897491,0.9995066140234588,,2000.0,500,light
6,TWFE,0.1548012404798875,-0.1250568629227263,0.2798581034026138,0.373020425131376,0.4324608778350961,0.1288839991994589,2000.0,500,light
7,DML-Chang,-0.9573114933042458,-0.922223943197674,-0.0350875501065719,0.3545941744646887,0.9555,0.3322491043927896,2000.0,500,light
7,TWFE,-0.7590082786649032,-0.922223943197674,0.1632156645327707,0.2399890915465971,0.976,0.2681991405506626,2000.0,500,light
8,DML-Chang,-0.3022129394910866,-0.5723211915451745,0.2701082520540879,0.5010878120599592,0.881,0.43379836265738,2000.0,500,light
8,TWFE,-0.4574014447653991,-0.5723211915451745,0.1149197467797753,0.2301947037105442,0.991,0.2969043433749198,2000.0,500,light
9,DML-Multi,-1.1743680023020766,-1.1952121301079364,0.0208441278058603,0.1933639272895856,0.9985197059224146,,2000.0,500,light
9,TWFE,-0.6434312940354748,-1.1952121301079364,0.5517808360724618,0.5958424891252864,0.1052314605830895,0.1357984427914396,2000.0,500,light
10,DML-Chang,0.0440573249996627,0.0399087561024491,0.0041485688972136,0.2964551823796363,0.9785,0.3366323637409671,2000.0,500,light
10,TWFE,0.0395080201486072,0.0399087561024491,-0.0004007359538419,0.1466775915285263,0.9905,0.1884944000020908,2000.0,500,light
11,DML-Chang,0.0599489694308858,0.0514819602080599,0.0084670092228259,0.3328172280342195,0.9755,0.3690007553955521,2000.0,500,light
11,TWFE,0.1941576172704222,0.0514819602080599,0.1426756570623622,0.2102786845887154,0.9355,0.1953845476492851,2000.0,500,light
12,DML-Chang,-0.3026197768764939,-0.6247205015109475,0.3221007246344536,0.5459695901048877,0.8555,0.4429241419705038,2000.0,500,light
12,TWFE,-0.5070082993075666,-0.6247205015109475,0.1177122022033809,0.2334674847709252,0.948,0.2363806029435987,2000.0,500,light
1,DML-Chang,0.123285767946935,0.1176594831503627,0.0056262847965722,0.2624773253581721,0.9865,0.3014426249531068,2000.0,500,default
1,TWFE,0.1171136224740624,0.1176594831503627,-0.0005458606763003,0.136187588216797,0.999,0.2459251464930759,2000.0,500,default
2,DML-Chang,0.0017249676633085,0.078651847176144,-0.0769268795128355,0.5926023347223104,0.987,0.6727218288535718,2000.0,500,default
2,TWFE,0.0734215448281073,0.078651847176144,-0.0052303023480366,0.1475252531020103,0.9995,0.2622650651069279,2000.0,500,default
3,DML-Multi,-0.0457463945477702,-0.0503851695054269,0.0046387749576566,0.153645957045832,1.0,,2000.0,500,default
3,TWFE,0.1047187606130573,-0.0503851695054269,0.1551039301184843,0.3300447835040747,0.6257132857732226,0.1514884353864095,2000.0,500,default
4,DML-Chang,0.0767226653649602,0.1060555468568296,-0.0293328814918694,0.3652879097413969,0.9825,0.3940528622037645,2000.0,500,default
4,TWFE,0.2734082746731929,0.1060555468568296,0.1673527278163633,0.2189386581655113,0.9825,0.2311638445511725,2000.0,500,default
5,DML-Chang,0.0355611070478011,0.1238746356755933,-0.0883135286277921,0.6188448592665919,0.988,0.7197908230899748,2000.0,500,default
5,TWFE,0.2632830798215799,0.1238746356755933,0.1394084441459866,0.2125530420250013,0.9905,0.2635171843682243,2000.0,500,default
6,DML-Multi,-0.1167441451682945,-0.1250568629227263,0.0083127177544317,0.1715631011950592,1.0,,2000.0,500,default
6,TWFE,0.1548012404798875,-0.1250568629227263,0.2798581034026138,0.373020425131376,0.4324608778350961,0.1288839991994589,2000.0,500,default
7,DML-Chang,-1.0824271169529311,-0.922223943197674,-0.1602031737552572,0.6612894871387799,0.981,0.6637187309963622,2000.0,500,default
7,TWFE,-0.7590082786649032,-0.922223943197674,0.1632156645327707,0.2399890915465971,0.976,0.2681991405506626,2000.0,500,default
8,DML-Chang,-0.3369632344876286,-0.5723211915451745,0.2353579570575458,0.7411562828965976,0.9665,0.805589902039933,2000.0,500,default
8,TWFE,-0.4574014447653991,-0.5723211915451745,0.1149197467797753,0.2301947037105442,0.991,0.2969043433749198,2000.0,500,default
9,DML-Multi,-1.173753571876175,-1.1952121301079364,0.0214585582317621,0.2415570088121116,0.9965069562564656,,2000.0,500,default
9,TWFE,-0.6434312940354748,-1.1952121301079364,0.5517808360724618,0.5958424891252864,0.1052314605830895,0.1357984427914396,2000.0,500,default
10,DML-Chang,0.0500053012147713,0.0399087561024491,0.0100965451123221,0.5683320595064398,0.99,0.6706066577052704,2000.0,500,default
10,TWFE,0.0395080201486072,0.0399087561024491,-0.0004007359538419,0.1466775915285263,0.9905,0.1884944000020908,2000.0,500,default
11,DML-Chang,0.0495805591911112,0.0514819602080599,-0.0019014010169487,0.6355606544126505,0.9885,0.7226157046905292,2000.0,500,default
11,TWFE,0.1941576172704222,0.0514819602080599,0.1426756570623622,0.2102786845887154,0.9355,0.1953845476492851,2000.0,500,default
12,DML-Chang,-0.31550567173769,-0.6247205015109475,0.3092148297732575,0.7893753498485875,0.956,0.8082545688452047,2000.0,500,default
12,TWFE,-0.5070082993075666,-0.6247205015109475,0.1177122022033809,0.2334674847709252,0.948,0.2363806029435987,2000.0,500,default
1,DML-Chang,0.1252371421350592,0.1176594831503627,0.0075776589846964,0.8761492558740089,0.977,0.8816976708587565,2000.0,500,heavy
1,TWFE,0.1171136224740624,0.1176594831503627,-0.0005458606763003,0.136187588216797,0.999,0.2459251464930759,2000.0,500,heavy
2,DML-Chang,-0.0070025939233455,0.078651847176144,-0.0856544410994896,1.1529847780575029,0.9915,1.5147755723394594,2000.0,500,heavy
2,TWFE,0.0734215448281073,0.078651847176144,-0.0052303023480366,0.1475252531020103,0.9995,0.2622650651069279,2000.0,500,heavy
3,DML-Multi,-0.0437901849604969,-0.0503851695054269,0.00659498454493,0.2076009900172147,0.9995005261279302,,2000.0,500,heavy
3,TWFE,0.1047187606130573,-0.0503851695054269,0.1551039301184843,0.3300447835040747,0.6257132857732226,0.1514884353864095,2000.0,500,heavy
4,DML-Chang,-0.009166045565091,0.1060555468568296,-0.1152215924219207,1.001492863772667,0.978,1.1181840409405095,2000.0,500,heavy
4,TWFE,0.2734082746731929,0.1060555468568296,0.1673527278163633,0.2189386581655113,0.9825,0.2311638445511725,2000.0,500,heavy
5,DML-Chang,0.0083228934105601,0.1238746356755933,-0.1155517422650331,1.142079445566048,0.991,1.5195135916674325,2000.0,500,heavy
5,TWFE,0.2632830798215799,0.1238746356755933,0.1394084441459866,0.2125530420250013,0.9905,0.2635171843682243,2000.0,500,heavy
6,DML-Multi,-0.1191540282248054,-0.1250568629227263,0.0059028346979208,0.2187470611959562,0.998506008818698,,2000.0,500,heavy
6,TWFE,0.1548012404798875,-0.1250568629227263,0.2798581034026138,0.373020425131376,0.4324608778350961,0.1288839991994589,2000.0,500,heavy
7,DML-Chang,-1.2166068796301177,-0.922223943197674,-0.2943829364324438,1.3715242261025151,0.981,1.4842449934039537,2000.0,500,heavy
7,TWFE,-0.7590082786649032,-0.922223943197674,0.1632156645327707,0.2399890915465971,0.976,0.2681991405506626,2000.0,500,heavy
8,DML-Chang,-0.3044560540104424,-0.5723211915451745,0.267865137534732,1.1662394523649595,0.9915,1.5386643137147646,2000.0,500,heavy
8,TWFE,-0.4574014447653991,-0.5723211915451745,0.1149197467797753,0.2301947037105442,0.991,0.2969043433749198,2000.0,500,heavy
9,DML-Multi,-1.1369846832737491,-1.1952121301079364,0.0582274468341872,0.2847096013534174,0.9905249922045348,,2000.0,500,heavy
9,TWFE,-0.6434312940354748,-1.1952121301079364,0.5517808360724618,0.5958424891252864,0.1052314605830895,0.1357984427914396,2000.0,500,heavy
10,DML-Chang,-0.0001021412806316,0.0399087561024491,-0.0400108973830807,1.1482310287754738,0.9955,1.515579549296069,2000.0,500,heavy
10,TWFE,0.0395080201486072,0.0399087561024491,-0.0004007359538419,0.1466775915285263,0.9905,0.1884944000020908,2000.0,500,heavy
11,DML-Chang,0.0530331481882055,0.0514819602080599,0.0015511879801455,1.2073979429911028,0.9885,1.5230168474833583,2000.0,500,heavy
11,TWFE,0.1941576172704222,0.0514819602080599,0.1426756570623622,0.2102786845887154,0.9355,0.1953845476492851,2000.0,500,heavy
12,DML-Chang,-0.271583691653411,-0.6247205015109475,0.3531368098575365,1.188942871227788,0.989,1.5450351031623952,2000.0,500,heavy
12,TWFE,-0.5070082993075666,-0.6247205015109475,0.1177122022033809,0.2334674847709252,0.948,0.2363806029435987,2000.0,500,heavy
1,DML-Chang,0.117037221757638,0.1168368296991077,0.0002003920585302,0.0659560506004003,0.9825,0.0816899148046989,2000.0,2500,light
1,TWFE,0.1181434069826056,0.1168368296991077,0.0013065772834978,0.0613846543931839,0.999,0.1098153082535643,2000.0,2500,light
2,DML-Chang,0.0440624582921832,0.0811124767342953,-0.037050018442112,0.1093200504669228,0.948,0.1069387458031441,2000.0,2500,light
2,TWFE,0.083534405628258,0.0811124767342953,0.0024219288939627,0.0640285410954263,1.0,0.1174301020283402,2000.0,2500,light
3,DML-Multi,-0.0502436005319627,-0.0522472454172156,0.0020036448852529,0.0526486117360752,1.0,,2000.0,2500,light
3,TWFE,0.102011674326743,-0.0522472454172156,0.1542589197439586,0.1998472719191695,0.4303286010524298,0.0677565541876856,2000.0,2500,light
4,DML-Chang,0.1085735312296067,0.1066606847340585,0.0019128464955482,0.0763186926797248,0.9595,0.0781567767636941,2000.0,2500,light
4,TWFE,0.278906252057006,0.1066606847340585,0.1722455673229475,0.1839446719063687,0.6835,0.10332014090794,2000.0,2500,light
5,DML-Chang,0.0646585691084293,0.1244184460356652,-0.0597598769272358,0.1252410595750952,0.926,0.1138587646176833,2000.0,2500,light
5,TWFE,0.2629897302805411,0.1244184460356652,0.1385712842448758,0.1553975486977173,0.9075,0.1179253567123267,2000.0,2500,light
6,DML-Multi,-0.1144347625591544,-0.1206418935549265,0.006207130995772,0.0588071109952361,1.0,,2000.0,2500,light
6,TWFE,0.151408074810468,-0.1206418935549265,0.2720499683653947,0.2925989533446668,0.0724574833225439,0.0576681037726528,2000.0,2500,light
7,DML-Chang,-0.91301101096679,-0.9245457847171352,0.0115347737503451,0.1196529731204171,0.924,0.1080872296329402,2000.0,2500,light
7,TWFE,-0.7604656759591284,-0.9245457847171352,0.1640801087580068,0.1810914809595459,0.8135,0.1199066060602092,2000.0,2500,light
8,DML-Chang,-0.2809000145066996,-0.5717970653400581,0.2908970508333585,0.3267661579611162,0.442,0.1393892597495026,2000.0,2500,light
8,TWFE,-0.4605827917091125,-0.5717970653400581,0.1112142736309457,0.144685093717067,0.946,0.1334357807663498,2000.0,2500,light
9,DML-Multi,-1.2002573737372015,-1.1892236223787425,-0.0110337513584595,0.08006914235481,0.9984975828919008,,2000.0,2500,light
9,TWFE,-0.6434786247215347,-1.1892236223787425,0.5457449976572076,0.5546813259818271,0.0,0.0608101198481035,2000.0,2500,light
10,DML-Chang,0.0415092448310369,0.0382032125974066,0.0033060322336302,0.0912923553097475,0.9805,0.1066386864140796,2000.0,2500,light
10,TWFE,0.0401982106201768,0.0382032125974066,0.0019949980227701,0.0642885117787341,0.9885,0.0843790439375407,2000.0,2500,light
11,DML-Chang,0.0592663556078142,0.0486510687062427,0.0106152869015714,0.1071347127143734,0.959,0.1139495562063478,2000.0,2500,light
11,TWFE,0.1884593356143925,0.0486510687062427,0.1398082669081497,0.1571837783525854,0.674,0.087509352776164,2000.0,2500,light
12,DML-Chang,-0.2850375248930817,-0.6267301744578754,0.3416926495647937,0.3707239291448546,0.324,0.1403214131301382,2000.0,2500,light
12,TWFE,-0.5129330455491995,-0.6267301744578754,0.1137971289086759,0.1452980986201354,0.839,0.1060833929142811,2000.0,2500,light
1,DML-Chang,0.1169738757980858,0.1168368296991077,0.000137046098978,0.0755290646298718,0.9815,0.0914380417627497,2000.0,2500,default
1,TWFE,0.1181434069826056,0.1168368296991077,0.0013065772834978,0.0613846543931839,0.999,0.1098153082535643,2000.0,2500,default
2,DML-Chang,0.0450384866035037,0.0811124767342953,-0.0360739901307915,0.1411766146374719,0.964,0.1494062920068779,2000.0,2500,default
2,TWFE,0.083534405628258,0.0811124767342953,0.0024219288939627,0.0640285410954263,1.0,0.1174301020283402,2000.0,2500,default
3,DML-Multi,-0.0504123815817761,-0.0522472454172156,0.0018348638354394,0.0578729337983422,1.0,,2000.0,2500,default
3,TWFE,0.102011674326743,-0.0522472454172156,0.1542589197439586,0.1998472719191695,0.4303286010524298,0.0677565541876856,2000.0,2500,default
4,DML-Chang,0.1033336920954466,0.1066606847340585,-0.0033269926386119,0.0980457090728438,0.973,0.1065092283677344,2000.0,2500,default
4,TWFE,0.278906252057006,0.1066606847340585,0.1722455673229475,0.1839446719063687,0.6835,0.10332014090794,2000.0,2500,default
5,DML-Chang,0.0612501216066893,0.1244184460356652,-0.0631683244289758,0.1623554918097885,0.9655,0.1713004065881849,2000.0,2500,default
5,TWFE,0.2629897302805411,0.1244184460356652,0.1385712842448758,0.1553975486977173,0.9075,0.1179253567123267,2000.0,2500,default
6,DML-Multi,-0.1142841504898072,-0.1206418935549265,0.0063577430651193,0.0665075747146484,1.0,,2000.0,2500,default
